Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Keppel DC Reit,AJBU,KEPE.SI,4247.708,276.768,24.53,3.37,Real Estate,88.3
Keppel Reit,K71U,KASA.SI,4201.195,200.55,196.21,,Real Estate,81.9
Khong Guan,K03,KHON.SI,40.526,63.861,34.3,1.27,Food & Beverages,55
Kim Heng,5G2,KIMH.SI,70.29,37.643,,,Energy - Fossil Fuels,65
Kimly,1D0,KIML.SI,497.496,226.037,13.44,3.37,Cyclical Consumer Services,67
King Wan,554,KIWC.SI,14.337,45.906,,,Industrial & Commercial Services,71
King Wan R,ZA8R,,,,,,,
KingsmenCreative,5MZ,KMEN.SI,53.516,286.958,,,Industrial & Commercial Services,54
Kitchen Culture,5TI,KCHL.SI,33.973,12.743,,,Retailers,71
Koda,BJZ,KODA.SI,71.768,89.231,10.36,1.16,Cyclical Consumer Products,92
Koh Bros,K75,KBRO.SI,74.46,243.066,,,Industrial & Commercial Services,60
Koh Eco,5HV,KBEE.SI,166.239,182.264,,,Industrial & Commercial Services,55
Koon,5DL,KOON.SI,11.322,89.27,,,Industrial & Commercial Services,
KOP,5I1,KOPL.SI,62.046,8.315,,,Cyclical Consumer Services,86
Kori,5VC,KORI.SI,14.086,14.74,31.98,,Industrial & Commercial Services,74
Koufu,VL6,KOUF.SI,360.856,192.375,36.5,1.85,Cyclical Consumer Services,74
Koyo Intl,5OC,KOYO.SI,13.925,16.861,31.98,0.7,Industrial & Commercial Services,55
KrisEnergy,SK3,KRIS.SI,46.072,61.694,,,Energy - Fossil Fuels,78
KS Energy,578,KSTL.SI,17.148,39.982,,,Energy - Fossil Fuels,49
KSH,ER0,KSHH.SI,213.651,153.094,,2.67,Industrial & Commercial Services,74
KTL Global,EB7,KTLG.SI,43.84,1.985,,,Cyclical Consumer Services,57
KTMG,XCF,KTMG.SI,33.427,70.995,10.79,,Cyclical Consumer Products,55
Lasseters Intl,5EL,LASS.SI,21.416,36.512,,,Cyclical Consumer Services,54
Leader Env,LS9,LETL.SI,124.325,2.879,,,Industrial & Commercial Services,52
Lendlease Reit,JYEU,LEND.SI,1056.991,75.737,37.06,4.68,Real Estate,
Ley Choon,Q0X,LEYC.SI,16.587,75.594,16.67,,Industrial & Commercial Services,84
LHN,41O,LHNL.SI,153.355,147.072,4.22,4.67,Real Estate,76
LHT,BEI,LHTH.SI,33.811,33.625,11.64,4.72,Applied Resources,80
Lian Beng,L03,LIBG.SI,278.124,514.49,10.06,1.9,Industrial & Commercial Services,65
Libra,5TR,LIGL.SI,7.734,37.191,,,Industrial & Commercial Services,70
LifeBrandz,1D3,LIFE.SI,10.302,0.719,,,Cyclical Consumer Services,55
Lion Asiapac,BAZ,LIAS.SI,33.253,16.592,141.87,,Mineral Resources,56
Lippo Malls Tr,D5IU,LMRT.SI,475.747,149.482,,4.39,Real Estate,90.5
Livingstone,PRH,LIVI.SI,55.607,,,,Healthcare Services,
Lonza,O6Z,LONN.S,53587.715,3976,104.52,0.42,Pharmaceuticals & Medical Research,
Lorenzo Intl,5IE,LRZI.SI,6.736,24.919,,,Retailers,50
Low Keng Huat,F1E,LKH.SI,347.244,73.351,7.13,5.32,Industrial & Commercial Services,65
Lum Chang,L19,LUCS.SI,161.712,265.843,,4.17,Industrial & Commercial Services,65
Luminor,5UA,LUMI.SI,16.38,7.834,,26.55,Real Estate,69
Lung Kee Bermuda,L09,0255.HK,2305.622,2064.882,12.73,7.61,Industrial Goods,
Luxking,BKK,LUKG.SI,3.921,87.976,2.71,,Chemicals,59
LY Corp,1H8,LYCO.SI,76.796,76.742,49.46,0.83,Cyclical Consumer Products,74
Magnus Energy,41S,MAGN.SI,12.902,10.628,,,Energy - Fossil Fuels,58
Man Oriental USD,M04,MOIL.SI,2539.609,190,,,Cyclical Consumer Services,
Manhattan Res,L02,MANH.SI,119.46,9.182,5.59,,Utilities,51
ManulifeReit USD,BTOU,MANU.SI,1249.454,194.312,,7.18,Real Estate,93.8
Mapletree Com Tr,N2IU,MACT.SI,7107.513,478.997,103.53,3.76,Real Estate,67.7
Mapletree Ind Tr,ME8U,MAPI.SI,7899.306,476.156,41.9,3.76,Real Estate,81.2
Mapletree Log Tr,M44U,MAPL.SI,9178.636,592.5,19.61,3.71,Real Estate,85.2
Mapletree NAC Tr,RW0U,MAPE.SI,3523.743,391.415,,6.11,Real Estate,90.2
MarcoPolo Marine,5LY,MAPM.SI,95.224,30.849,,,Transportation,42
Maruwa Yen1k,M12,5344.T,137081.766,43568.055,17.75,0.58,Technology Equipment,
Mary Chia,5OX,MARY.SI,10.748,9.012,18.5,,Personal & Household Products & Services,65
Matex Intl,M15,MATE.SI,10.286,24.629,,,Chemicals,75
Maxi-Cash Fin,5UF,MAXI.SI,189.451,262.821,6.47,19.67,Banking & Investment Services,71
MC Payment,TVV,MCPA.SI,121.151,,,,Industrial & Commercial Services,
MDR Limited,Y3D,MDRT.SI,69.845,192.797,,4.03,Retailers,
Medi Lifestyle,5TN,MEDL.SI,11.281,0.134,,,Healthcare Services,79
Medinex,OTX,MEDN.SI,28.866,10.786,8.26,6.36,Industrial & Commercial Services,84
Medtecs Intl,546,MTCS.SI,458.758,544.124,2.56,8.07,Healthcare Services,55
MegaChem,5DS,MEGA.SI,51.987,105.239,10.14,3.85,Chemicals,83
MeGroup,SJY,MEGR.SI,20.319,67.199,112.7,2.26,Automobiles & Auto Parts,68
Memiontec,SYM,MEMI.SI,57.267,34.606,43.19,0.71,Utilities,
Memories,1H4,MEMO.SI,13.056,2.905,,,Cyclical Consumer Services,
Mencast,5NF,MCHL.SI,17.032,43.209,,,Energy - Fossil Fuels,61
Mercurius,5RF,MERC.SI,66.315,0,,,Real Estate,51
Mermaid Maritime,DU4,MMPC.SI,103.173,109.146,,,Energy - Fossil Fuels,83
Metal Component,5DX,META.SI,23.189,32.233,,,Mineral Resources,56
Metech Intl,V3M,METE.SI,9.604,2.548,,,Industrial & Commercial Services,39
Metro,M01,MTHL.SI,636.135,97.323,17.24,2.61,Retailers,75
Mewah Intl,MV4,MEWI.SI,637.784,4683.604,5.42,1.76,Food & Beverages,78
MFG Integration,M11,MITD.SI,14.196,11.343,,318.64,Technology Equipment,74
Micro-Mechanics,5DD,MMEC.SI,446.292,70.957,25.92,3.43,Technology Equipment,110
Midas,5EN,MIDA.SI,365.524,,,,Mineral Resources,9
MindChamps,CNE,MIND.SI,64.024,51.8,20.18,,Personal & Household Products & Services,74
Mirach Energy,AWO,MIEL.SI,1.621,0.463,,,Food & Beverages,50
Miyoshi,M03,MIYO.SI,22.669,43.8,,,Technology Equipment,90
MM2 Asia,1B0,MM2A.SI,148.839,75.23,,,Cyclical Consumer Services,79
MoneyMax Fin,5WJ,MFSL.SI,93.757,197.147,4.6,4.45,Retailers,65
Moya Asia,5WE,MOYA.SI,302.658,240.123,8.65,,Industrial & Commercial Services,78
MS Hldgs,40U,MSHO.SI,13.595,9.806,4.22,,Industrial & Commercial Services,62
MSC,NPW,MSCB.KL,862.838,1066.423,15.62,0.49,Mineral Resources,
MSM Intl,5QR,MSML.SI,2.74,19.381,,,Industrial Goods,57
MTQ,M05,MTLS.SI,49.758,49.052,,4.35,Energy - Fossil Fuels,72
Multi-Chem,AWZ,MCHE.SI,167.577,552.204,7.61,4.03,Technology Equipment,73
Mun Siong Engg,MF6,MSEL.SI,31.45,46.929,,0.74,Industrial & Commercial Services,76
Murata Yen1k,PJX,,,,,,,
MYP,F86,MYPL.SI,121.028,18.779,,,Real Estate,67
Nam Cheong,N4E,NMCG.SI,31.294,119.309,,,Industrial Goods,66
Nam Lee Metal,G0I,NLPM.SI,87.748,155.027,6.14,2.78,Cyclical Consumer Products,45
Nanofilm,MZH,NANO.SI,4042.536,,,,Chemicals,
Natural Cool,5IF,NCHL.SI,13.524,120.208,10.63,2.78,Industrial & Commercial Services,81
NauticAWT,42D,NAUT.SI,7.942,0,,,Cyclical Consumer Services,54
NeraTel,N01,NERA.SI,58.627,131.118,15.59,3.09,Technology Equipment,88
Net Pacific Fin,5QY,NPFH.SI,17.346,0.603,,,Banking & Investment Services,55
NetLink NBN Tr,CJLU,NETL.SI,3799.547,368.466,40.07,5.21,Telecommunications Services,98.9
New Silkroutes,BMT,NEWS.SI,26.065,124.456,,,Healthcare Services,52
New Toyo,N08,NTYO.SI,90.082,242.385,11.86,7.32,Applied Resources,79
New Wave,5FX,NEWW.SI,15.547,16.502,,,Mineral Resources,61
NGSC,B07,NGSC.SI,6.569,0,,,Telecommunications Services,40
Nico Steel,5GF,NICO.SI,4.962,23.481,4.6,,Mineral Resources,63
Nippecraft,N32,NIPP.SI,18.624,194.431,155.97,,Applied Resources,70
No Signboard,1G6,NOSI.SI,21.732,8.156,,,Cyclical Consumer Services,58
Noble,CGP,NOBG.SI,51.34,4772.241,,,Industrial & Commercial Services,8
Noel Gifts Intl,543,NOEL.SI,20.495,18.421,11.16,1,Retailers,55
Nomura Yen1k,N33,8604.T,1773932.5,1508358,31.35,6.38,Banking & Investment Services,
Nordic,MR7,NRGL.SI,146,80.794,25.98,3.13,Industrial & Commercial Services,78
NSL,N02,NATS.SI,304.45,247.106,,6.13,Mineral Resources,48
Ntegrator Intl,5HC,NTOR.SI,15.042,23.102,,,Software & IT Services,58
NutryFarm,AZT,NUTR.SI,51.363,13.868,,,Software & IT Services,50
OCBC Bank,O39,OCBC.SI,56253.945,7625,11.64,3.28,Banking & Investment Services,114
Ocean Sky Intl,1B6,OCEA.SI,20.669,23.954,,,Industrial & Commercial Services,66
Oceanus,579,OCGL.SI,898.986,92.068,123.33,,Food & Beverages,52
OEL,584,OELH.SI,12.139,0.683,,,Real Estate,63
OIO,KUX,OIOH.SI,116.603,1.468,,,Financial Technology (Fintech) & Infrastructure,
OKH Global,S3N,OKHG.SI,21.444,15.138,,,Industrial & Commercial Services,62
OKP,5CF,OKPH.SI,59.836,69.627,18.11,3.61,Industrial & Commercial Services,75
Olam Intl,O32,OLAM.SI,5290.86,35820.043,25.02,5.14,Food & Beverages,95
Old Chang Kee,5ML,OCKL.SI,87.997,75.319,10.07,2.07,Cyclical Consumer Services,74
Olive Tree,1H2,OLIV.SI,5.577,3.804,,,Real Estate,61
OneApex,5SY,ONEA.SI,20.28,1.154,,,Real Estate,57
Ossia Intl,O08,OSSA.SI,36.379,25.307,7.64,6.94,Retailers,35
OTS Holdings,OTS,OTSH.SI,67.41,41.013,11.97,,Food & Beverages,
OUE,LJ3,OVES.SI,1294.179,371.082,,1.47,Real Estate,64
OUE Com Reit,TS0U,OUEC.SI,2311.225,283.544,,5.5,Real Estate,92.9
OUE Lippo HC,5WA,OUEL.SI,164.396,19.756,10.05,,Healthcare Services,79
Ouhua Energy,AJ2,OUEH.SI,21.464,484.841,9.68,,Energy - Fossil Fuels,44
Overseas Edu,RQ1,OVER.SI,116.302,79.055,11.29,8.21,Academic & Educational Services,64
Oxley,5UX,OXHL.SI,980.723,1384.268,,2.17,Real Estate,65
P5 Capital,5AI,P5CA.SI,21.375,4.748,,,Cyclical Consumer Products,48
Pacific Andes,P11,PACF.SI,183.682,1126.482,,,Food & Beverages,50
Pacific Century,P15,PCEN.SI,1020.15,23.6,,7.71,Holding Companies,69
Pacific Radiance,T8V,PACI.SI,75.467,86.336,,,Energy - Fossil Fuels,71
Pacific Star Dev,1C5,PACS.SI,21.677,1.142,,,Real Estate,63
Pan Asian,5EW,PANA.SI,18.85,22.927,,2.05,Utilities,47
Pan Hong,P36,PANH.SI,121.931,281.025,2.08,6.38,Real Estate,60
Pan Ocean,AZY,PANOx.SI,4746.421,3087.359,29.49,15.57,Transportation,27
PanUnited,P52,PANU.SI,228.149,491.234,29.63,4,Mineral Resources,61
Parkson Retail,O9E,PRAL.SI,7.45,173.413,,,Retailers,79
ParkwayLife Reit,C2PU,PWLR.SI,2910.062,120.311,29.56,2.59,Real Estate,80.3
Pavillon,596,PAVI.SI,10.857,8.486,,,Cyclical Consumer Services,42
PEC,IX2,PECL.SI,132.972,378.448,,0.96,Energy - Fossil Fuels,58
Penguin Intl,BTM,PGUN.SI,143.11,111.387,14.9,,Transportation,84
Pharmesis Intl,BFK,PHAR.SI,3.45,9.874,,,Pharmaceuticals & Medical Research,45
Pine Cap,ADJ,PINC.SI,6.572,0.63,,,Banking & Investment Services,11
Plastoform,AYD,PFML.SI,0.517,0.788,,,Technology Equipment,41
PlatoCapital,YYN,PLAT.SI,17.537,1.168,,,Software & IT Services,
PNE Industries,BDA,PNEI.SI,71.329,82.027,17.19,5.88,Industrial Goods,36
Polaris,5BI,POLA.SI,51.16,32.793,,,Retailers,58
Pollux Prop,5AE,PLPS.SI,115.898,,,,Real Estate,55
Powermatic Data,BCY,PMDS.SI,111.705,26.251,14.7,1.6,Technology Equipment,52
Prime US ReitUSD,OXMU,PRIE.SI,975.169,144.429,17.79,8.25,Real Estate,83.4
Procurri,BVQ,PROC.SI,92.685,248.869,40.7,,Software & IT Services,59
Progen,583,POGN.SI,16.792,3.014,,,Industrial & Commercial Services,60
PropNex,OYY,PROP.SI,726.269,600.596,19.97,2.81,Real Estate,72
Prudential USD,K6S,PRU.L,37965.621,40434.336,24.64,0.82,Insurance,
PSL,BLL,PSLL.SI,8.242,8.475,,,Industrial & Commercial Services,61
Q&M Dental,QC7,QMDT.SI,692.203,,,1.98,Healthcare Services,73
QAF,Q01,QAFS.SI,537.876,561.785,12.79,5.35,Food & Beverages,75
Qian Hu,BCV,QIAN.SI,24.976,81.726,,0.91,Food & Beverages,103
QT Vascular,5I0,QTVA.SI,11.197,0.757,,,Healthcare Services,59
Raffles Edu,NR7,RLSE.SI,132.719,96.785,10.83,,Academic & Educational Services,38
Raffles Infrastructure,LUY,RAFL.SI,14.611,4.205,,,Industrial & Commercial Services,56
Raffles Medical,BSL,RAFG.SI,2727.111,670.598,30.82,1.37,Healthcare Services,66
RE&S Hldg,1G1,RESH.SI,54.162,108.191,8.98,3.27,Cyclical Consumer Services,73
Reclaims Global,NEX,RECL.SI,21.746,24.722,10.02,6.02,Industrial & Commercial Services,75
Reenova Investment,5EC,REEN.SI,20.233,0,,,Banking & Investment Services,66
Regal Intl,UV1,REGI.SI,25.865,18.234,,,Real Estate,49
Renaissance United,I11,RENA.SI,12.362,72.563,,,Utilities,64
Resources Gbl,QSD,RESU.SI,19.35,73.247,6.16,,Energy - Fossil Fuels,
Resources Prima,5MM,RESO.SI,47.121,0,,,Energy - Fossil Fuels,61
Revez,RCU,REVE.SI,52.84,6.623,533.9,,Software & IT Services,
Rex Intl,5WH,REXI.SI,302.567,63.426,,,Energy - Fossil Fuels,88
RH PetroGas,T13,RHPG.SI,128.404,75.892,,,Energy - Fossil Fuels,71
RHT HealthTrust,RF1U,RHTH.SI,15.597,0,,,Real Estate,46.2
Rich Capital,5G4,RICH.SI,21.91,0,,,Mineral Resources,56
Riverstone,AP4,RVHL.SI,1885.828,1036.502,3.77,4.61,Healthcare Services,73
Roxy-Pacific,E8Z,RXYP.SI,551.42,198.431,,,Real Estate,88
Ryobi Kiso,BDN,RKHL.SI,39.185,146.908,,,Industrial & Commercial Services,66
Sabana Reit,M1GU,SABA.SI,468.622,76.53,11.69,7.03,Real Estate,71.5
Sakae,5DO,SAKA.SI,18.744,22.427,5.66,,Cyclical Consumer Services,46
Samko Timber,E6R,SAMT.SI,71.871,301.967,,,Applied Resources,67
SamuderaShipping,S56,SAMU.SI,239.913,519.382,4.79,2.81,Transportation,76
Samurai 2K,Y8E,SAMR.SI,120.463,35.582,21.08,2.78,Chemicals,
Sanli Env,1E3,SANL.SI,32.776,65.856,85.92,0.49,Industrial & Commercial Services,79
Santak,580,SATK.SI,9.682,12.634,,,Industrial Goods,49
Sapphire,BRD,SAPP.SI,38.721,231.17,4.78,,Industrial & Commercial Services,64
Sarine Tech,U77,SARI.SI,284.782,74.114,15.04,2.68,Industrial Goods,53
Sasseur Reit,CRPU,SASS.SI,1157.569,131.722,21.5,7.37,Real Estate,83.7
SATS,S58,SATS.SI,4518.706,969.997,,1.49,Transportation,131
SBI Offshore,5PL,SBIO.SI,9.488,0,,,Energy - Fossil Fuels,68
SBS Transit,S61,SBVV.SI,938.714,1230.947,11.89,2.09,Transportation,106
Second Chance,528,SECD.SI,214.293,26.851,36.35,1.58,Retailers,66
Secura,43B,SECU.SI,31.6,33.916,10.62,5.06,Industrial & Commercial Services,59
Sembcorp Ind,U96,SCIL.SI,3592.971,5214,11.33,2.99,Utilities,118
Sembcorp Marine,S51,SCMN.SI,1443.899,1448.267,,,Industrial Goods,94
Sen Yue,5BS,SENY.SI,21.654,175.106,,,Mineral Resources,58
Serial System,S69,SERL.SI,138.586,994.119,375.22,0.72,Industrial Goods,84
Seroja Inv,IW5,SERO.SI,30.841,0,,,Transportation,56
SGX,S68,SGXL.SI,11830.932,1055.953,26.9,2.9,Banking & Investment Services,121
Shanghai Turbo,AWM,SHTU.SI,19.838,9.731,,,Industrial Goods,49
Shangri-La HKD,S07,0069.HK,24381.57,8041.437,,,Cyclical Consumer Services,
Shen Yao,A78,SHEY.SI,163.531,91.04,,,Mineral Resources,45
Sheng Siong,OV8,SHEN.SI,2330.482,1328.273,17.97,3.94,Food & Drug Retailing,67
Shenshan,BKV,CHIS.SI,18.789,22.85,,,Food & Beverages,54
Shinvest,BJW,SHIN.SI,91.51,11.84,,1.14,Industrial Goods,42
Shopper360,1F0,SHOP.SI,15.101,48.715,16.37,,Cyclical Consumer Services,72
SHS,566,SEEH.SI,110.149,35.146,,,Industrial & Commercial Services,61
SIA,C6L,SIAL.SI,15245.022,3815.9,,1.1,Transportation,94
SIA Engineering,S59,SIAE.SI,2371.885,442.994,,3.79,Transportation,97
SIIC Environment,BHK,SIIC.SI,499.679,1429.543,3.62,5.15,Utilities,66
Silkroad Nickel,STP,SILK.SI,104.486,0.646,,,Mineral Resources,74
Silverlake Axis,5CP,SLVX.SI,728.048,198.311,14.31,3.44,Software & IT Services,79
Sim Leisure,URR,SIMI.SI,31.006,3.08,11.62,,Cyclical Consumer Services,71
Sin Ghee Huat,B7K,SGHC.SI,59.94,29.335,,,Mineral Resources,55
Sin Heng Mach,BKA,SIHM.SI,44.232,53.356,36.7,1.3,Industrial Goods,64
Sinarmas Land,A26,SINA.SI,1273.809,910.476,11.67,0.32,Real Estate,84
Sincap,5UN,SINC.SI,8.505,5.146,,,Energy - Fossil Fuels,39
Sing Inv & Fin,S35,SINV.SI,236.439,77.369,7.91,2.4,Banking & Investment Services,97
Sing Paincare,FRQ,SINR.SI,33.59,,,3.74,Healthcare Services,
Singapore O&G,1D8,SINP.SI,133.878,39.889,14.07,6.07,Healthcare Services,94
SingaporeKitchen,5WG,SING.SI,9.145,22.211,72.84,,Cyclical Consumer Products,75
SingaporeLandGrp,U06,SIND.SI,3896.855,628.025,17.98,1.29,Real Estate,54
SingHaiyi,5H0,SIHL.SI,413.244,152.849,,,Real Estate,73
SingHoldings,5IC,SHDS.SI,152.378,118.351,12.67,2.63,Real Estate,73
SingMedical,5OT,SMGL.SI,156.982,98.077,12.59,1.23,Healthcare Services,65
SingMyanmar,Y45,SINO.SI,46.296,13.849,,,Transportation,62
SingPost,S08,SPOS.SI,1495.391,1404.681,44.64,1.69,Transportation,111
SingShipping,S19,SSHP.SI,109.997,57.316,7.86,1.82,Industrial Goods,73
Singtel,Z74,STEL.SI,38479.098,15644,68.85,3.22,Telecommunications Services,128
Singtel 10,Z77,,,,,,,
Sinjia Land,5HH,SINJ.SI,4.417,,,,Cyclical Consumer Services,73
Sino Grandness,T4B,SOGF.SI,22.988,615.022,0.45,,Food & Beverages,42
SinoCloud,5EK,SINL.SI,15.878,2.919,,,Software & IT Services,49
Sinopipe,X06,SPHL.SI,40.111,0,,,Cyclical Consumer Products,36
Sinostar Pec,C9Q,SNSR.SI,256,703.888,5.63,1.25,Energy - Fossil Fuels,68
Sitra,5LE,SITR.SI,14.74,17.268,,,Applied Resources,59
SLB Dev,1J0,SLBD.SI,120.694,42.387,9.02,,Real Estate,61
Soilbuild Const,S7P,SOIL.SI,52.157,148.937,,8.06,Industrial & Commercial Services,72
Soon Lian,5MD,SNLN.SI,10.26,33.427,24.93,,Mineral Resources,66
Soup Restaurant,5KI,SRGL.SI,28.059,31.108,30.32,2.13,Cyclical Consumer Services,66
Southern Pkg,BQP,SOUT.SI,35.16,123.735,35.46,0.5,Applied Resources,71
SouthernAlliance,QNS,SOUH.SI,489,,,0.6,Mineral Resources,
SP Corp,AWE,SPPS.SI,25.447,29.432,18.24,,Industrial & Commercial Services,80
Spackman,40E,SPAC.SI,11.695,12.886,,,Cyclical Consumer Services,78
SPH,T39,SPRM.SI,3025.227,811.363,,2.12,Cyclical Consumer Services,112
SPHREIT,SK6U,SPHR.SI,2464.87,248.016,,4.14,Real Estate,78.6
Spindex Ind,564,SNEX.SI,138.438,167.773,8.92,2.33,Industrial Goods,53
Spura Finance,S23,SBDS.SI,135.676,31.438,28.46,1.75,Banking & Investment Services,88
Sri Trang Agro,NC2,STA.BK,58734.441,104124.75,3.16,8.06,Automobiles & Auto Parts,61
Sri Trang Gloves,STG,,,,,,,
ST Engineering,S63,STEG.SI,12739.78,7158.286,24.52,3.68,Industrial Goods,97
ST Group Food,DRX,STGR.SI,27.552,35.969,,1.38,Cyclical Consumer Services,53
Stamford Land,H07,SFLD.SI,399.311,113.807,48.34,0.98,Cyclical Consumer Services,78
Stamford Tyres,S29,STAS.SI,47.477,187.385,,2.5,Automobiles & Auto Parts,76
Starburst,40D,STAB.SI,48.784,21.772,5.4,5.32,Industrial & Commercial Services,55
StarhillGbl Reit,P40U,STHL.SI,1363.815,181.287,24.77,5.42,Real Estate,78
StarHub,CC3,STAR.SI,2199.197,2042.9,15.73,3.94,Telecommunications Services,93
Straco,S85,STRA.SI,451.843,29.557,,1.92,Cyclical Consumer Services,54
Straits Trading,S20,STCM.SI,1252.854,386.687,24.27,1.95,Mineral Resources,65
SunMoonFood,AAJ,SMFC.SI,24.324,33.145,26.72,,Food & Beverages,55
Sunpower,5GD,SUNP.SI,521.174,894.711,,0.46,Industrial Goods,47
Sunright,S71,SNRT.SI,57.719,108.944,20.98,0.64,Technology Equipment,51
Sunrise Shares,581,SUNR.SI,7.745,1.152,51.39,,Real Estate,74
Suntar Eco-City,BKZ,SECL.SI,43.304,4.654,1760.55,,Pharmaceuticals & Medical Research,35
Suntec Reit,T82U,SUNT.SI,4157.938,332.706,84.05,4.94,Real Estate,85.3
SUTL Enterprise,BHU,SUTL.SI,50.579,16.149,15.87,3.42,Cyclical Consumer Services,68
Swiber,BGK,SWBR.SI,50.448,1168.143,,,Energy - Fossil Fuels,35
Swing Media Tech,BEV,SWMT.SI,25.755,198.679,,,Technology Equipment,50
Swissco Hldg,ADP,SWCO.SI,36.172,48.076,,,Energy - Fossil Fuels,22
Sysma,5UO,SYSM.SI,29.754,40.594,12.05,8.77,Industrial & Commercial Services,54
TA,PA3,TACO.SI,36.265,161.984,,,Real Estate,64
Tai Sin Electric,500,TAIS.SI,171.306,246.015,8.63,4.05,Industrial Goods,60
TalkMed,5G3,TALK.SI,541.245,60.315,23.77,5,Healthcare Services,69
Tat Seng Pkg,T12,TASE.SI,123.402,303.069,5.34,2.55,Applied Resources,45
TCIL HK$,T15,0693.HK,4107.15,12319.495,431.29,1.96,Retailers,
Tech Oil & Gas,5CQ,TECH.SI,16.747,65.026,,,Energy - Fossil Fuels,24
TEE Intl,M1Z,TEEI.SI,20.741,116.418,,,Industrial & Commercial Services,69
Teho Intl,5OQ,TEHO.SI,12.007,63.714,5.2,,Industrial Goods,64
TeleChoice Intl,T41,TCIN.SI,81.342,213.474,,2.79,Technology Equipment,66
ThaiBev,Y92,TBEV.SI,16703.973,10062.614,17.43,3.01,Food & Beverages,64
Thakral,AWI,THAK.SI,70.665,90.121,10.58,5.56,Real Estate,84
The Place Hldg,E27,THEP.SI,688.037,1.131,975,,Cyclical Consumer Services,75
TheHourGlass,AGS,HRGS.SI,1036.367,742.931,12.55,4.08,Retailers,71
Thomson Medical,A50,THOS.SI,2300.368,214.62,,,Healthcare Services,63
Tianjin ZX USD,T14,TIAN.SI,2708.564,1044.618,8.72,,Pharmaceuticals & Medical Research,65
TIH,T55,TIHL.SI,62.838,-1.422,,3.85,Collective Investments,55
Tiong Seng,BFI,TISE.SI,68.484,235.938,,1.68,Industrial & Commercial Services,63
Tiong Woon,BQM,TION.SI,124.246,100.945,61.85,0.56,Industrial Goods,47
TLV,42L,TLVH.SI,37.323,,,,Retailers,76
Top Global,BHO,TPGB.SI,123.93,40.683,,,Real Estate,66
Top Glove,BVA,TPGC.KL,30611.223,17396.785,3.55,15.72,Healthcare Services,
Tosei,S2D,8923.T,56765.313,59822.336,6.41,1.63,Real Estate,
Transit Concrete,570,TMCL.SI,13.662,5.011,,,Mineral Resources,56
Travelite,BCZ,TRHL.SI,7.447,18.04,,,Retailers,56
Trek 2000 Intl,5AB,TRKL.SI,41.163,33.821,135.42,,Technology Equipment,42
Trendlines,42T,THET.SI,79.119,,,,Banking & Investment Services,74
TrickleStar,CYW,TRIC.SI,24.802,17.466,25.4,0.67,Industrial Goods,57
Tritech,5G9,TTGL.SI,16.743,22.872,,,Industrial & Commercial Services,78
Triyards,RC5,TRIY.SI,27.39,157.95,,,Energy - Fossil Fuels,46
TSH,KUH,TSHC.SI,4.746,4.152,,,Cyclical Consumer Services,
TT Intl,T09,TINL.SI,14.545,44.397,,,Retailers,37
TTJ,K1Q,TTJH.SI,59.5,58.464,,2.35,Industrial & Commercial Services,60
Tuan Sing,T24,TSHS.SI,655.522,196.817,10.87,1.11,Real Estate,106
Tung Lok Rest,540,TGLK.SI,41.16,59.731,40.98,,Cyclical Consumer Services,63
Tye Soon,BFU,TYES.SI,30.979,198.236,25.32,,Automobiles & Auto Parts,66
UGHealthcare,8K7,UGHE.SI,360.511,250.448,5.24,0.41,Healthcare Services,
UMS,558,UMSH.SI,928.023,179.181,22.43,2.02,Technology Equipment,66
Uni-Asia Grp,CHJ,UAFC.SI,84.102,62.446,,0.93,Real Estate,71
Union Gas,1F2,UNIO.SI,270.183,86.19,19.48,2.57,Utilities,72
Union Steel,BLA,UNIS.SI,17.326,60.114,,,Mineral Resources,73
United Food,AZR,UTDF.SI,7.328,2.073,,,Food & Beverages,34
United Global,43P,UNIT.SI,139.133,0.238,31.58,2.27,Energy - Fossil Fuels,88
Universal Res,BGO,UNIV.SI,4.08,0.01,,,Energy - Fossil Fuels,41
UnUsUaL,1D1,UNUS.SI,157.464,1.346,,,Cyclical Consumer Services,57
UOA,EH5,UOS.AX,363.932,396.508,11.21,2.72,Real Estate,
UOB,U11,UOBH.SI,45452.492,,,3.67,Banking & Investment Services,113
UOB Kay Hian,U10,UOKH.SI,1383.486,657.813,7.6,5.94,Banking & Investment Services,52
UOI,U13,UOIS.SI,428.085,62.074,15.78,2.43,Insurance,90
UOL,U14,UTOS.SI,6196.943,1977.148,472.94,2.04,Real Estate,86
USP Group,BRS,USPG.SI,9.82,32.496,8.62,,Energy - Fossil Fuels,27
UtdHampshReitUSD,ODBU,UNIE.SI,376.368,,,6.37,Real Estate,
V2Y Corp,V2Y,V2YC.SI,14.377,,,,Insurance,70
Vallianz,WPC,VHLD.SI,30.205,120.424,,,Transportation,68
ValueMax,T6I,VAMG.SI,244.442,276.113,5.91,5.14,Banking & Investment Services,56
Valuetronics,BN2,VLUE.SI,252.666,398.525,7.72,6.21,Technology Equipment,70
VCPlus,43E,VCPL.SI,96.206,0.043,,,Mineral Resources,76
Venture,V03,VENM.SI,5738.169,3079.391,18.68,3.81,Technology Equipment,94
Versalink,40N,VERS.SI,10.665,11.399,,,Industrial & Commercial Services,65
