Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Ban Leong,B26,BANL.SI,40.775,182.682,5.67,7.14,Technology Equipment,70
Banyan Tree,B58,BANY.SI,272.517,157.832,,,Cyclical Consumer Services,92
BBR,KJ5,BBRS.SI,47.083,121.595,,,Industrial & Commercial Services,78
Beng Kuang,BEZ,BENK.SI,11.665,42.667,,,Industrial & Commercial Services,75
Best World,CGN,BEST.SI,748.325,599.524,,3.99,Personal & Household Products & Services,64
Beverly JCG,VFP,BEVE.SI,17.928,5.601,,,Healthcare Services,
BH Global,BQN,BHGC.SI,88.5,53.219,27.49,1.69,Industrial Goods,69
BHG Retail Reit,BMGU,BHGR.SI,299.355,60.561,,3.33,Real Estate,81.4
Biolidics,8YY,BIOL.SI,71.672,8.907,,,Healthcare Services,
BlackGoldNatural,41H,BLAC.SI,15.256,11.543,0.01,,Energy - Fossil Fuels,66
Blumont,A33,BLUM.SI,82.712,3.499,,,Industrial & Commercial Services,59
Boldtek,5VI,BOLD.SI,16.706,38.264,,,Real Estate,77
Bonvests,B28,BVHS.SI,379.434,120.588,,0.32,Cyclical Consumer Services,63
Boustead,F9D,BTSS.SI,520.07,685.71,4.46,3.85,Industrial & Commercial Services,77
Boustead Proj,AVM,BOUS.SI,345.6,301.405,2.55,0.83,Industrial & Commercial Services,85
BRC Asia,BEC,BRCA.SI,369.892,646.541,21.28,3.31,Cyclical Consumer Products,54
Broadway Ind,B69,BRWY.SI,68.9,400.673,4.84,,Industrial Goods,53
Brook Crompton,AWC,BROO.SI,23.403,44.861,10.84,3.03,Industrial Goods,72
Bukit Sembawang,B61,BSES.SI,1312.68,580.961,6.93,0.79,Real Estate,77
Bumitama Agri,P8Z,BUMI.SI,790.889,860.299,7.38,5.33,Food & Beverages,77
Bund Center,BTE,BCIL.SI,406.862,,,4.21,Real Estate,68
Camsing Hc,BAC,CAMS.SI,30.957,12.958,,,Retailers,44
CapAllianz,594,CAPL.SI,20.634,2.502,,,Energy - Fossil Fuels,80
Capital World,1D5,CAPI.SI,9.277,0.994,,,Real Estate,53
CapitaLand,C31,CATL.SI,21477.355,6532.572,,2.21,Real Estate,123
CapLand China T,AU8U,CAPA.SI,2050.82,285.9,,5.59,Real Estate,98.2
CapLand IntCom T,C38U,CMLT.SI,14052.911,1072.479,14.64,4.18,Real Estate,110.5
Captii,AWV,CAPT.SI,12.783,22.052,8.66,3.13,Telecommunications Services,58
Casa,C04,CASA.SI,14.688,16.112,9.08,7.14,Cyclical Consumer Products,43
CDL HTrust,J85,CDLT.SI,1437.589,131.724,,,Real Estate,85.9
CDW,BXE,CDWH.SI,60.523,151.994,27.63,6.11,Technology Equipment,85
Centurion,OU8,CNCL.SI,277.457,128.355,16.16,,Real Estate,89
CFM,5EB,CFMH.SI,49.376,18.642,,,Industrial Goods,71
CH Offshore,C13,CHOF.SI,42.305,25.713,,,Energy - Fossil Fuels,62
Challenger,573,CHAL.SI,191.873,288.118,8.36,4.86,Retailers,73
Charisma Energy,5QT,CHAR.SI,26.67,18.53,,,Utilities,52
Chasen,5NV,CHHL.SI,27.61,130.723,15.81,,Transportation,87
ChasWood Res,5TW,CHAS.SI,2.258,0.555,,,Cyclical Consumer Services,41
Chemical Ind,C05,CHEM.SI,59.997,63.002,10.77,1.9,Chemicals,46
China Aviation,G92,CNAO.SI,866.184,18793.393,11.13,2.58,Energy - Fossil Fuels,84
China Env,5OU,CHEN.SI,31.071,1.226,,,Industrial & Commercial Services,59
China Env Res,RS1,1130.HK,140.521,70.194,,,Industrial & Commercial Services,
China Everbright,U9E,CEWL.SI,1476.862,989.237,3.76,7.28,Utilities,83
China Fishery,B0Z,CNFG.SI,270.951,662.787,,,Food & Beverages,45
China Haida,C92,CHHA.SI,1.02,6.428,,,Mineral Resources,68
China Intl,BEH,CHNA.SI,23.859,33.156,1.88,9.52,Industrial & Commercial Services,59
China Mining,BHD,CMIL.SI,7.216,0.661,,,Real Estate,57
China Star Food,42W,CHIA.SI,23.863,60.232,,,Food & Beverages,48
China Yuanbang,BCD,CYBP.SI,31.924,115.618,2.92,,Real Estate,64
ChinaKangdaFood,P74,0834.HK,155.861,1824.798,,,Food & Beverages,56
ChinaKundaTech,GU5,CKUN.SI,8.606,7.846,,,Automobiles & Auto Parts,70
ChinaSunsine,QES,CHSN.SI,511.362,489.101,11.03,1.92,Chemicals,
Chip Eng Seng,C29,CESE.SI,370.809,674.633,,4.44,Real Estate,85
Choo Chiang,42E,CHOO.SI,49.92,52.711,16.89,3.75,Industrial Goods,46
Chuan Hup,C33,CHHS.SI,204.22,35.462,,4.55,Real Estate,63
CityDev,C09,CTDM.SI,6101.412,2108.426,,1.19,Real Estate,125
Civmec,P9D,CIVM.SI,370.814,530.869,15.11,2.08,Industrial & Commercial Services,83
Clearbridge,1H3,CLEA.SI,85.176,36.258,106.98,,Healthcare Services,70
CNMC Goldmine,5TP,CNMC.SI,79.5,32.454,,,Mineral Resources,79
Colex,567,COLX.SI,28.492,47.215,16.13,2.09,Industrial & Commercial Services,60
Combine Will,N0Z,CWIHx.SI,30.064,167.178,5.57,5.38,Cyclical Consumer Products,64
ComfortDelGro,C52,CMDG.SI,3511.225,3228.6,57.55,0.88,Transportation,110
Cordlife,P8A,CORD.SI,101.66,50.616,14.89,2.37,Healthcare Services,59
Cortina,C41,CORT.SI,447.062,436.715,11.3,2.22,Retailers,75
COSCO SHP SG,F83,COSC.SI,649.381,185.843,77.96,,Transportation,55
CosmoSteel,B9S,COSM.SI,28.459,65.768,13.54,5.1,Mineral Resources,85
Courage Inv,CIN,1145.HK,271.133,61.628,,,Transportation,
CPH,539,CIPH.SI,6.146,0,,,Real Estate,59
CPH Ltd.,SES,,,,,,,
Creative,C76,CREA.SI,181.5,105.316,,,Technology Equipment,58
CreditBureauAsia,TCU,CRED.SI,294.899,45.114,39.76,,Industrial & Commercial Services,
Cromwell Reit EUR,CWBU,CROM.SI,1409.613,186.972,16.23,6.91,Real Estate,
Cromwell Reit SGD,CWCU,,,,,,,
CSC,C06,CSCH.SI,43.06,178.333,,,Industrial & Commercial Services,56
CSE Global,544,CSES.SI,268.355,502.789,9.58,5.29,Software & IT Services,78
DairyFarm USD,D01,DAIR.SI,4843.389,9565.4,28.1,4.05,Food & Drug Retailing,
Darco Water Tech,BLR,DRWT.SI,17.453,78.082,14.84,,Industrial & Commercial Services,67
Dasin Retail Tr,CEDU,DASI.SI,422.3,87.476,,7.3,Real Estate,85.9
Datapulse Tech,BKW,DATA.SI,35.185,0.68,,,Technology Equipment,63
DBS,D05,DBSM.SI,81975.727,10393,13.68,2.75,Banking & Investment Services,123
Debao Property,BTF,DPDL.SI,9.6,84.991,,,Real Estate,40
Del Monte Pac,D03,DMPL.SI,1183.74,2939.554,7.91,4.63,Food & Beverages,109
Delfi,P34,DELF.SI,516.428,523.455,21.74,3.78,Food & Beverages,85
Design Studio,D11,DESS.SI,22.014,24.227,,,Retailers,54
Digilife Tech,BAI,DIGI.SI,18.739,264.036,,,Telecommunications Services,65
DISA,532,DISA.SI,10.039,10.365,,,Consumer Goods Conglomerates,61
Don Agro,GRQ,DONA.SI,60.109,30.996,6.79,2.89,Food & Beverages,
Dragon,MT1,DRGN.SI,1.374,2.958,,,Industrial Goods,64
Dutech,CZ4,DTHL.SI,153.31,369.486,9.98,2.33,Technology Equipment,62
Duty Free Intl,5SO,DUTY.SI,108.169,68.706,,5.68,Transportation,63
Dyna-Mac,NO4,DMHL.SI,98.228,84.76,,,Industrial Goods,79
Eagle HTrust USD,LIW,EAGL.SI,119.567,69.414,,25.39,Real Estate,
